packet,src_ip,src_port,dst_ip,dst_port,udp_payload_len,latitude_deg,longitude_deg,ads_id,gps_time_raw_ms,gps_time_s,gps_week,fs_message1,fs_message2,bat_state1,bat_state2,bat_state3,bat_state4,mpc_flags,posi_rms_m,lat_dev_m,dist_x_m,dist_y_m,x_rel_m,y_rel_m,x_rel_vut_m,y_rel_vut_m,ttc_s,heading_deg,speed_kmh,speed_e_kmh,speed_n_kmh,ax_mps2,ay_mps2,dyaw_dps,bvolt1_v,bvolt2_v,bvolt3_v,bvolt4_v,btemp1_c,btemp2_c,btemp3_c,btemp4_c,bcurr1_a,bcurr2_a,bcurr3_a,bcurr4_a,mtemp1_c,mtemp2_c,mtemp3_c,mtemp4_c,cpu_temp_c,steering_angle_deg,steering_pwm,mov_pwm1,mov_pwm2,mov_pwm3,mov_pwm4,brake_pwm,sr_sw1,sr_sw2,sr_sw3,sr_sw4,reserved,sender,version,message_id,counter,gnss_status,ins_status,soc1,soc2,soc3,soc4,operation_mode,test_state
1,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045550,274045.55,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,116,6,0,92,0,0,0,11,0
3,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045560,274045.56,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,117,6,0,92,0,0,0,11,0
5,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045560,274045.56,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,117,6,0,92,0,0,0,11,0
6,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045570,274045.57,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,118,6,0,92,0,0,0,11,0
7,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045580,274045.58,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,119,6,0,92,0,0,0,11,0
8,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045580,274045.58,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,119,6,0,92,0,0,0,11,0
9,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045590,274045.59,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,120,6,0,92,0,0,0,11,0
10,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045600,274045.6,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,121,6,0,92,0,0,0,11,0
11,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045600,274045.6,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,121,6,0,92,0,0,0,11,0
12,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045610,274045.61,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,122,6,0,92,0,0,0,11,0
13,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045620,274045.62,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,123,6,0,92,0,0,0,11,0
14,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045630,274045.63,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,124,6,0,92,0,0,0,11,0
15,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045630,274045.63,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,124,6,0,92,0,0,0,11,0
16,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045640,274045.64,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,125,6,0,92,0,0,0,11,0
17,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045650,274045.65,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,126,6,0,92,0,0,0,11,0
