x,y
-1515.9579796941835,105925.24235933227
-1515.9581602727994,105925.23127378989
-1515.967679833353,105925.23142885929
-1515.967860411969,105925.22034331737
-1515.9773799724644,105925.22049838677
-1515.987080111634,105925.20956791472
-1515.9967802508036,105925.19863744266
-1516.0062998114154,105925.19879251206
-1516.015999950585,105925.18786203908
-1516.0161805292591,105925.17677649716
-1516.025700089871,105925.17693156656
-1516.035219652811,105925.17708663642
-1516.0354002314853,105925.16600109357
-1516.0449197896523,105925.16615616297
-1516.0451003683265,105925.15507062152
-1516.054619931383,105925.15522569092
-1516.0643200707273,105925.14429521933
-1516.0740202100133,105925.13336474635
-1516.083539770625,105925.13351981575
-1516.0932399100275,105925.12258934323
-1516.1029400493717,105925.11165887071
-1516.112640188774,105925.10072839865
-1516.1223403281765,105925.0897979266
-1516.1318598888465,105925.08995299647
-1516.1415600283071,105925.07902252395
-1516.1510795913637,105925.07917759381
-1516.1512601701543,105925.0680920519
-1516.1607797284378,105925.0682471213
-1516.1704798703431,105925.05731664877
-1516.180180009862,105925.04638617579
-1516.1896995705902,105925.04654124565
-1516.189880149439,105925.0354557028
-1516.1993997101672,105925.03561077267
-1516.209099849686,105925.02468030108
-1516.209280428593,105925.01359475963
-1516.2187999893213,105925.0137498295
-1516.22850012884,105925.00281935744
-1516.2382002685335,105924.99188888399
-1516.2477198292618,105924.99204395385
-1516.257419968897,105924.9811134818
-1516.2671201110352,105924.97018301068
-1516.276820248284,105924.9592525377
-1516.286520390422,105924.94832206517
-1516.2960399512667,105924.94847713457
-1516.3057400910184,105924.93754666438
-1516.3152596517466,105924.93770173425
-1516.3249597915565,105924.92677125987
-1516.3346599313663,105924.91584078735
-1516.3443600711762,105924.90491031623
-1516.3538796319626,105924.90506538609
-1516.3635797718307,105924.8941349131
-1516.3637603508541,105924.88304937165
-1516.373279911757,105924.88320444152
-1516.3829800540116,105924.87227396993
-1516.3926801915513,105924.86134349648
-1516.4021997547825,105924.86149856634
-1516.4118998947088,105924.85056809383
-1516.4216000346933,105924.83963762317
-1516.431119595596,105924.8397926935
-1516.4313001746777,105924.82870715065
-1516.4505198756233,105924.817931748
-1516.4602200156078,105924.8070012778
-1516.4697395765688,105924.80715634767
-1516.4794397165533,105924.79622587236
-1516.4891398567124,105924.78529540077
-1516.4988399991998,105924.77436492965
-1516.5083595577162,105924.77451999998
-1516.5180597002618,105924.76358952746
-1516.5277598404791,105924.75265905587
-1516.5372794014402,105924.75281412574
-1516.546979541541,105924.74188365415
-1516.5471601207973,105924.73079811223
-1516.5568602609565,105924.71986763924
-1516.5663798219757,105924.72002270911
-1516.576079962193,105924.70909223799
-1516.5857801025268,105924.69816176733
-1516.595480242744,105924.68723129435
-1516.6049998038216,105924.68738636374
-1516.6146999465418,105924.67645589262
-1516.6244000868173,105924.66552541964
-1516.6436197882867,105924.65475001698
-1516.6533199286787,105924.64381954586
-1516.6628394897562,105924.64397461573
-1516.672539630148,105924.63304414507
-1516.68223977054,105924.62211367255
-1516.6919399109902,105924.61118320096
-1516.701640053885,105924.60025272891
-1516.7111596126342,105924.60040779877
-1516.7208597530844,105924.58947732626
-1516.7305598960374,105924.57854685513
-1516.7402600365458,105924.56761638401
-1516.7499601771124,105924.55668591149
-1516.759660317679,105924.54575543944
-1516.7786994400667,105924.5460655801
-1516.7883995806915,105924.53513510758
-1516.7980997213162,105924.52420463553
-1516.8077998619992,105924.51327416394
-1516.8175000050687,105924.50234369282
-1516.8272001433652,105924.4914132217
-1516.8369002840482,105924.48048274918
-1516.856119988428,105924.46970734838
-1516.8753396904794,105924.45893194666
-1516.8850398312788,105924.44800147461
-1516.8947399720782,105924.43707100395
-1516.9044401128776,105924.42614053236
-1516.9141402537934,105924.41521005984
-1516.9236598151037,105924.41536512971
-1516.9428795172716,105924.40458972799
-1516.9525796581875,105924.3936592564
-1516.962279801548,105924.38272878435
-1516.971979942522,105924.37179831415
-1516.9911996448645,105924.3610229129
-1517.0008997857803,105924.35009244084
-1517.0105999268126,105924.33916196926
-1517.0203000678448,105924.32823149674
-1517.0395197703037,105924.31745609641
-1517.049219913839,105924.30652562482
-1517.0589200525428,105924.2955951537
-1517.0686201936333,105924.28466468165
-1517.0878398986533,105924.27388927992
-1517.0975400398602,105924.2629588088
-1517.1167597424937,105924.25218340708
-1517.1264598837588,105924.24125293642
-1517.1456795864506,105924.23047753563
-1517.1553797277156,105924.21954706451
-1517.1650798715418,105924.20861659339
-1517.1842995719053,105924.1978411912
-1517.1939997157315,105924.18691072054
-1517.2036998569965,105924.17598024849
-1517.2229195600376,105924.16520484723
-1517.232619701419,105924.15427437657
-1517.2423198428005,105924.14334390499
-1517.2615395458997,105924.13256850373
-1517.2712396873394,105924.12163803214
-1517.2809398313402,105924.11070756149
-1517.300159532053,105924.09993216116
-1517.3100402560085,105924.07791614812
-1517.3197403976228,105924.06698567607
-1517.3389601007802,105924.05621027574
-1517.3486602424528,105924.04527980369
-1517.3678799457848,105924.0345044029
-1517.387099649175,105924.02372900303
-1517.3967997932923,105924.01279853145
-1517.4162000743672,105923.99093758874
-1517.4259002185427,105923.98000711761
-1517.4356003603898,105923.96907664649
-1517.4548200639547,105923.95830124617
-1517.46452020586,105923.94737077598
-1517.4837399094831,105923.93659537425
-1517.4934400513303,105923.9256649036
-1517.5126597574563,105923.9148895028
-1517.5223598970333,105923.90395903075
-1517.5415796032175,105923.89318363136
-1517.5514603253687,105923.87116761785
-1517.5611604674486,105923.86023714673
-1517.5803801713046,105923.8494617478
-1517.5900803133845,105923.83853127528
-1517.6093000173569,105923.82775587542
-1517.6190001594368,105923.81682540523
-1517.6382198635256,105923.8060500035
-1517.6576201502467,105923.7841890622
-1517.6768398544518,105923.77341366094
-1517.6865399967646,105923.76248319075
-1517.7059402812738,105923.7406222485
-1517.7156404235284,105923.72969177784
-1517.73486012785,105923.71891637892
-1517.7445602726657,105923.7079859078
-1517.7637799746008,105923.69721050654
-1517.773660699837,105923.67519449396
-1517.792880404275,105923.66441909363
-1517.8121001088293,105923.65364369331
-1517.8218002513167,105923.64271322358
-1517.8410199559294,105923.63193782372
-1517.8509006789536,105923.60992181115
-1517.8701203835662,105923.59914641036
-1517.8798205262283,105923.5882159397
-1517.8990402333438,105923.57744054124
-1517.918259938131,105923.56666514091
-1517.9281406613882,105923.54464912787
-1517.9473603662336,105923.53387372801
-1517.9665800711373,105923.52309832769
-1517.9859803567524,105923.50123738684
-1517.995680499589,105923.49030691618
-1518.0149002069957,105923.47953151772
-1518.0343004927854,105923.45767057501
-1518.0440006356803,105923.44674010528
-1518.063220340875,105923.43596470589
-1518.0824400460115,105923.42518930603
-1518.0923207722371,105923.40317329345
-1518.1115404750453,105923.39239789266
-1518.1212406205013,105923.38146742294
-1518.1404603259289,105923.37069202447
-1518.159860612126,105923.34883108316
-1518.1695607552538,105923.33790061297
-1518.1887804607395,105923.32712521264
-1518.2080001687864,105923.31634981465
-1518.2178808903554,105923.29433380067
-1518.2371005984023,105923.28355840128
-1518.256320304121,105923.27278300328
-1518.2660204474232,105923.2618525317
-1518.285420734086,105923.23999159178
-1518.304640439921,105923.22921619099
-1518.3240407290868,105923.20735525154
-1518.3432604350382,105923.19657985214
-1518.3529605785152,105923.18564938242
-1518.372360865469,105923.16378844203
-1518.391580571537,105923.15301304078
-1518.4012807151303,105923.14208257152
-1518.420500421198,105923.13130717212
-1518.4399007108295,105923.10944623267
-1518.4496008520364,105923.09851576155
-1518.4688205607235,105923.08774036355
-1518.488220848143,105923.0658794227
-1518.5074405544437,105923.05510402331
-1518.51714069827,105923.04417355359
-1518.536540985806,105923.02231261227
-1518.555760694726,105923.01153721474
-1518.5654608361656,105923.00060674362
-1518.5846805451438,105922.98983134516
-1518.6040808329126,105922.96797040477
-1518.6234811209142,105922.94610946439
-1518.642700827564,105922.93533406593
-1518.6619205343304,105922.9245586684
-1518.671620680776,105922.91362819867
-1518.691020968894,105922.8917672569
-1518.710240675835,105922.88099185843
-1518.719940819894,105922.87006138777
-1518.7393411082448,105922.84820044879
-1518.758560815244,105922.83742505033
-1518.7682609595358,105922.82649458107
-1518.7876612504479,105922.80463364022
-1518.8068809575634,105922.79385824176
-1518.8261006647372,105922.78308284376
-1518.8358008090872,105922.77215237357
-1518.8552010977874,105922.75029143365
-1518.8744208075805,105922.73951603519
-1518.884120949544,105922.72858556546
-1518.9035212409217,105922.70672462555
-1518.9227409483865,105922.69594922801
-1518.932441092853,105922.68501875782
-1518.9613609449589,105922.6633128901
-1518.9805806524819,105922.65253749304
-1518.9904613812687,105922.63052147906
-1519.0096810865216,105922.61974608246
-1519.028900796664,105922.608970684
-1519.038600941305,105922.59804021381
-1519.05800123082,105922.57617927482
-1519.0772209386923,105922.56540387729
-1519.086921083508,105922.5544734085
-1519.1063213755842,105922.53261246718
-1519.12554108107,105922.52183707012
-1519.1352412283886,105922.51090659993
-1519.154641518253,105922.48904566187
-1519.1738612264162,105922.47827026295
-1519.1930809345213,105922.46749486588
-1519.2027810795116,105922.45656439709
-1519.2221813719952,105922.4347034567
-1519.2414010778884,105922.42392805917
-1519.25110122544,105922.41299758945
-1519.2705015157117,105922.39113665
-1519.2897212241078,105922.3803612534
-1519.3091215144377,105922.35850031301
-1519.3283412229503,105922.34772491595
-1519.3380413706764,105922.33679444576
-1519.3574416588526,105922.3149335077
-1519.3766613699263,105922.30415811017
-1519.3958810786135,105922.29338271357
-1519.405581223953,105922.28245224524
-1519.4249815147487,105922.26059130393
-1519.4442012236104,105922.2498159078
-1519.4539013715112,105922.23888543714
-1519.4733016600367,105922.21702449908
-1519.4925213714596,105922.20624910202
-1519.502221517032,105922.19531863322
-1519.5216218081769,105922.17345769424
-1519.5408415172715,105922.16268229624
-1519.550541662902,105922.15175182698
-1519.5697613744414,105922.14097642899
-1519.5891616634908,105922.11911549186
-1519.5988618116244,105922.10818502214
-1519.6182621031767,105922.08632408408
-1519.6470013760263,105922.07570375968
-1519.656701521948,105922.06477328995
-1519.6761018136167,105922.0429123519
-1519.6953215231188,105922.03213695483
-1519.7050216690404,105922.02120648557
-1519.7242413810454,105922.0104310885
-1519.7436416730052,105921.98857015092
-1519.7533418190433,105921.9776396812
-1519.7725615286618,105921.96686428413
-1519.7919618208543,105921.94500334607
-1519.8016619693954,105921.93407287681
-1519.8208816767437,105921.92329748115
-1519.8401013890398,105921.91252208455
-1519.8499821177102,105921.89050607383
-1519.869201827678,105921.8797306763
-1519.8884215377038,105921.8689552811
-1519.9078218302457,105921.84709434165
-1519.9175219789613,105921.83616387378
-1519.936741686659,105921.82538847718
-1519.9561419818783,105921.80352753913
-1519.9753616920789,105921.792752143
-1519.99476198497,105921.77089120448
-1520.0044621314155,105921.75996073522
-1520.0236818417907,105921.74918533862
-1520.0429015521659,105921.73840994295
-1520.0527822814183,105921.71639393223
-1520.0720019943547,105921.70561853703
-1520.0912217048462,105921.69484314043
