s,x,y
0.0,-1515.9118390224867,105925.28029242635
2.0,-1517.3822030468673,105924.01798205967
4.0,-1518.8581008079386,105922.74938302019
6.0,-1520.34093559423,105921.47522044425
8.0,-1521.8321106942699,105920.19621946824
10.0,-1523.3330293965867,105918.91310522854
12.0,-1524.845075185518,105917.62661200731
14.0,-1526.367735304468,105916.3383497951
16.0,-1527.8970565341942,105915.05151743224
18.0,-1529.4287222110534,105913.76948160233
20.0,-1530.9584156714022,105912.495608989
22.0,-1532.4818607062382,105911.23322914334
24.0,-1533.999834265015,105909.98103342268
26.0,-1535.523013513261,105908.7286259726
28.0,-1537.0632252158266,105907.46609707328
30.0,-1538.6322961375606,105906.21357026594
32.0,-1540.2420530433076,105905.01846942166
34.0,-1541.900704204902,105903.9178315978
36.0,-1543.6020307689178,105902.90332119759
38.0,-1545.3362187744303,105901.95529617427
40.0,-1547.0934542605153,105901.05411448106
42.0,-1548.8639232662472,105900.18013407121
44.0,-1550.6378118307014,105899.31371289793
46.0,-1552.4053059929536,105898.43520891451
48.0,-1554.1565917920782,105897.52498007413
50.0,-1555.8832777208106,105896.56636009706
52.0,-1557.5846008205049,105895.55864159463
54.0,-1559.262344602957,105894.50644438344
56.0,-1560.9182943558612,105893.41439199535
58.0,-1562.5542353669116,105892.28710796205
60.0,-1564.1719529238023,105891.1292158154
62.0,-1565.7732323142275,105889.94533908721
64.0,-1567.3598588258815,105888.7401013092
66.0,-1568.9336177464586,105887.51812601327
68.0,-1570.4962796821364,105886.28393738961
70.0,-1572.0493547320332,105885.04029692423
72.0,-1573.5941292807984,105883.78845235365
74.0,-1575.1318824435996,105882.52960222577
76.0,-1576.663893335606,105881.26494508864
78.0,-1578.1914410719867,105879.99567949021
80.0,-1579.7158047679104,105878.7230039785
82.0,-1581.238263538545,105877.44811710146
84.0,-1582.7600964990602,105876.1722174071
86.0,-1584.2825827646243,105874.89650344341
88.0,-1585.8070014504062,105873.6221737584
90.0,-1587.3346316715742,105872.35042689997
92.0,-1588.8660298494676,105871.08171862573
94.0,-1590.398586492386,105869.81325074259
96.0,-1591.9288254229155,105868.54133427104
98.0,-1593.453270441619,105867.26228020896
100.0,-1594.9684453490568,105865.97239955411
102.0,-1596.4731040340173,105864.67086799732
104.0,-1597.9769415060418,105863.37091580781
106.0,-1599.493002713828,105862.09007646897
108.0,-1601.0343334674753,105860.84588457059
110.0,-1602.61404154804,105859.65647664103
112.0,-1604.246457887654,105858.55186996442
114.0,-1605.947033790673,105857.57296426539
116.0,-1607.7312619269849,105856.76106106184
118.0,-1609.605908138421,105856.15474689797
120.0,-1611.542804401726,105855.78194125074
122.0,-1613.5050425841082,105855.67729961504
124.0,-1615.4552601009445,105855.88533868307
126.0,-1617.3506894822501,105856.41039210006
128.0,-1619.1450174742458,105857.22977372896
130.0,-1620.7918690297909,105858.32032655136
