index,lat,lon,x_m,y_m,heading_deg,vx_mps,ax_mps2,time_s
0,31.2907614000,121.2038591000,-514.719,-105.598,318.249,5.000,0.000,0.000
1,31.2907711695,121.2038488959,-515.690,-104.510,318.249,5.000,0.000,0.100
2,31.2907809390,121.2038386918,-516.660,-103.423,318.249,5.000,0.000,0.200
3,31.2907907084,121.2038284876,-517.631,-102.335,318.249,5.000,0.000,0.300
4,31.2908004779,121.2038182835,-518.602,-101.248,318.249,5.000,0.000,0.400
5,31.2908102474,121.2038080794,-519.572,-100.160,318.249,5.000,0.000,0.500
6,31.2908200169,121.2037978753,-520.543,-99.072,318.249,5.000,0.000,0.600
7,31.2908297863,121.2037876711,-521.514,-97.985,318.249,5.000,0.000,0.700
8,31.2908395558,121.2037774670,-522.484,-96.897,318.249,5.000,0.000,0.800
9,31.2908493253,121.2037672629,-523.455,-95.810,318.249,5.000,0.000,0.900
10,31.2908590948,121.2037570588,-524.426,-94.722,318.249,5.000,0.000,1.000
11,31.2908688642,121.2037468546,-525.396,-93.635,318.249,5.000,0.000,1.100
12,31.2908786337,121.2037366505,-526.367,-92.547,318.249,5.000,0.000,1.200
13,31.2908884032,121.2037264464,-527.338,-91.460,318.249,5.000,0.000,1.300
14,31.2908981727,121.2037162423,-528.308,-90.372,318.249,5.000,0.000,1.400
15,31.2909079421,121.2037060381,-529.279,-89.285,318.249,5.000,0.000,1.500
16,31.2909177116,121.2036958340,-530.250,-88.197,318.249,5.000,0.000,1.600
17,31.2909274811,121.2036856299,-531.220,-87.110,318.249,5.000,0.000,1.700
18,31.2909372506,121.2036754258,-532.191,-86.022,318.249,5.000,0.000,1.800
19,31.2909470200,121.2036652216,-533.162,-84.935,318.249,5.000,0.000,1.900
20,31.2909567895,121.2036550175,-534.132,-83.847,318.249,5.000,0.000,2.000
21,31.2909665590,121.2036448134,-535.103,-82.759,318.249,5.000,0.000,2.100
22,31.2909763285,121.2036346093,-536.074,-81.672,318.249,5.000,0.000,2.200
23,31.2909860979,121.2036244052,-537.044,-80.584,318.249,5.000,0.000,2.300
24,31.2909958674,121.2036142010,-538.015,-79.497,318.249,5.000,0.000,2.400
25,31.2910056369,121.2036039969,-538.986,-78.409,318.249,5.000,0.000,2.500
26,31.2910154064,121.2035937928,-539.957,-77.322,318.249,5.000,0.000,2.600
27,31.2910251758,121.2035835887,-540.927,-76.234,318.249,5.000,0.000,2.700
28,31.2910349453,121.2035733845,-541.898,-75.147,318.249,5.000,0.000,2.800
29,31.2910447148,121.2035631804,-542.869,-74.059,318.249,5.000,0.000,2.900
30,31.2910544843,121.2035529763,-543.839,-72.972,318.249,5.000,0.000,3.000
31,31.2910642537,121.2035427722,-544.810,-71.884,318.249,5.000,0.000,3.100
32,31.2910740232,121.2035325680,-545.781,-70.797,318.249,5.000,0.000,3.200
33,31.2910837927,121.2035223639,-546.751,-69.709,318.249,5.000,0.000,3.300
34,31.2910935622,121.2035121598,-547.722,-68.622,318.249,5.000,0.000,3.400
35,31.2911033316,121.2035019557,-548.693,-67.534,318.249,5.000,0.000,3.500
36,31.2911131011,121.2034917515,-549.663,-66.446,318.249,5.000,0.000,3.600
37,31.2911228706,121.2034815474,-550.634,-65.359,318.249,5.000,0.000,3.700
38,31.2911326401,121.2034713433,-551.605,-64.271,318.249,5.000,0.000,3.800
39,31.2911424096,121.2034611392,-552.575,-63.184,318.249,5.000,0.000,3.900
40,31.2911521790,121.2034509350,-553.546,-62.096,318.249,5.000,0.000,4.000
41,31.2911619485,121.2034407309,-554.517,-61.009,318.249,5.000,0.000,4.100
42,31.2911717180,121.2034305268,-555.487,-59.921,318.249,5.000,0.000,4.200
43,31.2911814875,121.2034203227,-556.458,-58.834,318.249,5.000,0.000,4.300
44,31.2911912569,121.2034101185,-557.429,-57.746,318.249,5.000,0.000,4.400
45,31.2912010264,121.2033999144,-558.399,-56.659,318.249,5.000,0.000,4.500
46,31.2912107959,121.2033897103,-559.370,-55.571,318.249,5.000,0.000,4.600
47,31.2912205654,121.2033795062,-560.341,-54.484,318.249,5.000,0.000,4.700
48,31.2912303348,121.2033693021,-561.311,-53.396,318.249,5.000,0.000,4.800
49,31.2912401043,121.2033590979,-562.282,-52.309,318.249,5.000,0.000,4.900
50,31.2912498738,121.2033488938,-563.253,-51.221,318.249,5.000,0.000,5.000
