index,lat,lon,x_m,y_m,heading_deg,vx_mps,ax_mps2,time_s
0,31.2951903000,121.1981009000,-1062.475,387.425,131.967,5.000,0.000,0.000
1,31.2951828963,121.1981105334,-1061.559,386.601,131.964,5.000,0.000,0.100
2,31.2951754931,121.1981201673,-1060.642,385.777,131.962,5.000,0.000,0.200
3,31.2951680901,121.1981298015,-1059.726,384.953,131.959,5.000,0.000,0.300
4,31.2951606876,121.1981394362,-1058.809,384.129,131.956,5.000,0.000,0.400
5,31.2951532855,121.1981490712,-1057.893,383.305,131.954,5.000,0.000,0.500
6,31.2951458837,121.1981587066,-1056.976,382.481,131.951,5.000,0.000,0.600
7,31.2951384824,121.1981683425,-1056.059,381.657,131.949,5.000,0.000,0.700
8,31.2951310814,121.1981779787,-1055.143,380.833,131.946,5.000,0.000,0.800
9,31.2951236808,121.1981876154,-1054.226,380.009,131.943,5.000,0.000,0.900
10,31.2951162805,121.1981972525,-1053.309,379.185,131.941,5.000,0.000,1.000
11,31.2951088807,121.1982068899,-1052.393,378.362,131.938,5.000,0.000,1.100
12,31.2951014812,121.1982165278,-1051.476,377.538,131.935,5.000,0.000,1.200
13,31.2950940821,121.1982261660,-1050.559,376.714,131.933,5.000,0.000,1.300
14,31.2950866834,121.1982358047,-1049.642,375.891,131.930,5.000,0.000,1.400
15,31.2950792851,121.1982454437,-1048.725,375.067,131.927,5.000,0.000,1.500
16,31.2950718872,121.1982550832,-1047.808,374.244,131.925,5.000,0.000,1.600
17,31.2950644896,121.1982647231,-1046.891,373.420,131.922,5.000,0.000,1.700
18,31.2950570924,121.1982743633,-1045.974,372.597,131.919,5.000,0.000,1.800
19,31.2950496956,121.1982840040,-1045.057,371.773,131.917,5.000,0.000,1.900
20,31.2950422995,121.1982936446,-1044.140,370.950,131.658,5.000,0.000,2.000
21,31.2950349413,121.1983033236,-1043.219,370.131,131.114,5.000,0.000,2.100
22,31.2950276609,121.1983130849,-1042.291,369.320,131.112,5.000,0.000,2.200
23,31.2950203810,121.1983228466,-1041.362,368.510,131.109,5.000,0.000,2.300
24,31.2950131014,121.1983326087,-1040.433,367.700,131.107,5.000,0.000,2.400
25,31.2950058222,121.1983423711,-1039.505,366.889,131.104,5.000,0.000,2.500
