index,lat,lon,x_m,y_m,heading_deg,vx_mps,ax_mps2,time_s
0,31.2914788000,121.2055977000,-349.332,-25.737,93.648,5.000,0.000,0.000
1,31.2914783330,121.2056062718,-348.517,-25.789,93.648,5.000,0.000,0.100
2,31.2914778661,121.2056148437,-347.701,-25.841,93.648,5.000,0.000,0.200
3,31.2914773991,121.2056234155,-346.886,-25.893,93.648,5.000,0.000,0.300
4,31.2914769322,121.2056319873,-346.071,-25.945,93.648,5.000,0.000,0.400
5,31.2914764652,121.2056405592,-345.255,-25.997,93.648,5.000,0.000,0.500
6,31.2914759982,121.2056491310,-344.440,-26.049,93.648,5.000,0.000,0.600
7,31.2914755313,121.2056577028,-343.624,-26.101,93.648,5.000,0.000,0.700
8,31.2914750643,121.2056662746,-342.809,-26.153,93.648,5.000,0.000,0.800
9,31.2914745974,121.2056748465,-341.994,-26.205,93.648,5.000,0.000,0.900
10,31.2914741304,121.2056834183,-341.178,-26.257,93.648,5.000,0.000,1.000
11,31.2914736634,121.2056919901,-340.363,-26.309,93.648,5.000,0.000,1.100
12,31.2914731965,121.2057005620,-339.547,-26.361,93.648,5.000,0.000,1.200
13,31.2914727295,121.2057091338,-338.732,-26.413,93.648,5.000,0.000,1.300
14,31.2914722625,121.2057177056,-337.917,-26.465,93.648,5.000,0.000,1.400
15,31.2914717956,121.2057262775,-337.101,-26.517,93.648,5.000,0.000,1.500
16,31.2914713286,121.2057348493,-336.286,-26.569,93.648,5.000,0.000,1.600
17,31.2914708617,121.2057434211,-335.470,-26.621,93.648,5.000,0.000,1.700
18,31.2914703947,121.2057519930,-334.655,-26.673,93.648,5.000,0.000,1.800
19,31.2914699277,121.2057605648,-333.840,-26.725,93.648,5.000,0.000,1.900
20,31.2914694608,121.2057691366,-333.024,-26.777,93.648,5.000,0.000,2.000
21,31.2914689938,121.2057777084,-332.209,-26.829,93.648,5.000,0.000,2.100
22,31.2914685269,121.2057862803,-331.393,-26.881,93.648,5.000,0.000,2.200
23,31.2914680599,121.2057948521,-330.578,-26.933,93.648,5.000,0.000,2.300
24,31.2914675929,121.2058034239,-329.763,-26.985,93.648,5.000,0.000,2.400
25,31.2914671260,121.2058119958,-328.947,-27.037,93.648,5.000,0.000,2.500
26,31.2914666590,121.2058205676,-328.132,-27.089,93.648,5.000,0.000,2.600
27,31.2914661921,121.2058291394,-327.316,-27.141,93.648,5.000,0.000,2.700
28,31.2914657251,121.2058377113,-326.501,-27.193,93.648,5.000,0.000,2.800
29,31.2914652581,121.2058462831,-325.685,-27.245,93.648,5.000,0.000,2.900
30,31.2914647912,121.2058548549,-324.870,-27.297,93.648,5.000,0.000,3.000
31,31.2914643242,121.2058634268,-324.055,-27.349,93.648,5.000,0.000,3.100
32,31.2914638573,121.2058719986,-323.239,-27.400,93.648,5.000,0.000,3.200
33,31.2914633903,121.2058805704,-322.424,-27.452,93.648,5.000,0.000,3.300
34,31.2914629233,121.2058891423,-321.608,-27.504,93.648,5.000,0.000,3.400
35,31.2914624564,121.2058977141,-320.793,-27.556,93.648,5.000,0.000,3.500
36,31.2914619894,121.2059062859,-319.978,-27.608,93.648,5.000,0.000,3.600
37,31.2914615224,121.2059148577,-319.162,-27.660,93.648,5.000,0.000,3.700
38,31.2914610555,121.2059234296,-318.347,-27.712,93.648,5.000,0.000,3.800
39,31.2914605885,121.2059320014,-317.531,-27.764,93.648,5.000,0.000,3.900
40,31.2914601216,121.2059405732,-316.716,-27.816,93.648,5.000,0.000,4.000
41,31.2914596546,121.2059491451,-315.901,-27.868,93.648,5.000,0.000,4.100
42,31.2914591876,121.2059577169,-315.085,-27.920,93.648,5.000,0.000,4.200
43,31.2914587207,121.2059662887,-314.270,-27.972,93.648,5.000,0.000,4.300
44,31.2914582537,121.2059748606,-313.454,-28.024,93.648,5.000,0.000,4.400
45,31.2914577868,121.2059834324,-312.639,-28.076,93.648,5.000,0.000,4.500
46,31.2914573198,121.2059920042,-311.824,-28.128,93.648,5.000,0.000,4.600
47,31.2914568528,121.2060005761,-311.008,-28.180,93.648,5.000,0.000,4.700
48,31.2914563859,121.2060091479,-310.193,-28.232,93.648,5.000,0.000,4.800
49,31.2914559189,121.2060177197,-309.377,-28.284,93.648,5.000,0.000,4.900
50,31.2914554520,121.2060262915,-308.562,-28.336,93.648,5.000,0.000,5.000
51,31.2914549850,121.2060348634,-307.747,-28.388,93.648,5.000,0.000,5.100
52,31.2914545180,121.2060434352,-306.931,-28.440,93.648,5.000,0.000,5.200
53,31.2914540511,121.2060520070,-306.116,-28.492,93.648,5.000,0.000,5.300
54,31.2914535841,121.2060605789,-305.300,-28.544,93.648,5.000,0.000,5.400
55,31.2914531172,121.2060691507,-304.485,-28.596,93.648,5.000,0.000,5.500
56,31.2914526502,121.2060777225,-303.670,-28.648,93.648,5.000,0.000,5.600
57,31.2914521832,121.2060862944,-302.854,-28.700,93.648,5.000,0.000,5.700
58,31.2914517163,121.2060948662,-302.039,-28.752,93.648,5.000,0.000,5.800
59,31.2914512493,121.2061034380,-301.223,-28.804,93.648,5.000,0.000,5.900
60,31.2914507823,121.2061120099,-300.408,-28.856,93.648,5.000,0.000,6.000
61,31.2914503154,121.2061205817,-299.592,-28.908,93.648,5.000,0.000,6.100
62,31.2914498484,121.2061291535,-298.777,-28.960,93.648,5.000,0.000,6.200
63,31.2914493815,121.2061377253,-297.962,-29.012,93.648,5.000,0.000,6.300
64,31.2914489145,121.2061462972,-297.146,-29.064,93.648,5.000,0.000,6.400
65,31.2914484475,121.2061548690,-296.331,-29.116,93.648,5.000,0.000,6.500
66,31.2914479806,121.2061634408,-295.515,-29.168,93.648,5.000,0.000,6.600
67,31.2914475136,121.2061720127,-294.700,-29.220,93.648,5.000,0.000,6.700
68,31.2914470467,121.2061805845,-293.885,-29.272,93.648,5.000,0.000,6.800
69,31.2914465797,121.2061891563,-293.069,-29.324,93.648,5.000,0.000,6.900
70,31.2914461127,121.2061977282,-292.254,-29.376,93.648,5.000,0.000,7.000
71,31.2914456458,121.2062063000,-291.438,-29.428,93.648,5.000,0.000,7.100
72,31.2914451788,121.2062148718,-290.623,-29.480,93.648,5.000,0.000,7.200
73,31.2914447119,121.2062234437,-289.808,-29.532,93.648,5.000,0.000,7.300
